gene_name,uniprot_entry,seq_length,saps_propensity,pdps_propensity,mix_ps_propensity,saps_psregion_length,pdps_psregion_length,mix_psregion_length
CBL,CBL_HUMAN,906,0.38938117,0.5174531,0.549529,36,71,39
IGFBP4,IBP4_HUMAN,258,0.19600753,0.00875217,0.19529557,0,0,0
PRKACB,KAPCB_HUMAN,351,0.0011685786,0.62050074,0.41356564,0,35,0
UQCRC2,QCR2_HUMAN,453,0.05014081,0.13198464,0.24342015,0,0,0
SLC2A5,GTR5_HUMAN,501,0.051081877,0.000854964,0.09181786,0,0,0
TGM1,TGM1_HUMAN,817,0.65909135,0.30773914,0.61850023,101,0,96
NR4A1,NR4A1_HUMAN,598,0.28229916,0.30822143,0.40985394,0,0,0
CA4,CAH4_HUMAN,312,0.008807784,0.04891761,0.12834795,0,0,0
GNLY,GNLY_HUMAN,145,0.016502446,0.0005100095,0.04981763,0,0,0
AADAC,AAAD_HUMAN,399,4.72085e-05,0.00027711218,0.039805174,0,0,0
CPN2,CPN2_HUMAN,545,0.0012804656,4.343113e-05,0.08949886,0,0,0
EVI2A,EVI2A_HUMAN,236,0.00550396,7.932034e-05,0.035162546,0,0,0
FECH,HEMH_HUMAN,423,0.013944383,0.28623095,0.31008136,0,0,0
LHCGR,LSHR_HUMAN,699,0.010382263,0.0008361915,0.09776847,0,0,0
PROZ,PROZ_HUMAN,400,0.0008740917,0.00032773052,0.050249867,0,0,0
MMP8,MMP8_HUMAN,467,0.028489003,0.0012624406,0.24161848,0,0,0
MRC1,MRC1_HUMAN,1456,0.0032786843,0.0011391139,0.092958905,0,0,0
CRYGS,CRYGS_HUMAN,178,0.6757211,0.38100225,0.65279686,50,0,178
XPA,XPA_HUMAN,273,0.26197878,0.6368998,0.62968034,0,100,91
IGHV1-2,HV102_HUMAN,117,0.00019545943,1.4112241e-05,0.08793984,0,0,0
AMPD1,AMPD1_HUMAN,747,0.00053836394,0.34094486,0.15466127,0,0,0
CES1,EST1_HUMAN,567,0.006426225,0.12534289,0.2231173,0,0,0
FBLN1,FBLN1_HUMAN,703,0.027898138,0.019393677,0.09613483,0,0,0
TCEA1,TCEA1_HUMAN,301,0.062171035,0.50675356,0.36882243,0,0,0
PTGS1,PGH1_HUMAN,599,0.026394287,0.14322838,0.1472339,0,0,0
ITGA6,ITA6_HUMAN,1130,0.093531415,0.08203522,0.47647944,0,0,0
SFPQ,SFPQ_HUMAN,707,0.9626218,0.9275608,0.8893774,447,670,707
TUBG1,TBG1_HUMAN,451,0.068797395,0.09773588,0.1685116,0,0,0
KEL,KELL_HUMAN,732,0.0034172698,0.09014095,0.08054121,0,0,0
CA6,CAH6_HUMAN,308,0.0040476844,0.10732023,0.15014258,0,0,0
PPIB,PPIB_HUMAN,216,0.013583614,0.51106834,0.4185081,0,0,0
S100A1,S10A1_HUMAN,94,0.00012914679,0.03919196,0.09011115,0,0,0
HRC,SRCH_HUMAN,699,0.78811115,0.5794066,0.81574744,387,0,415
ANOS1,KALM_HUMAN,680,0.00019893679,0.0005628758,0.083449915,0,0,0
ME2,MAOM_HUMAN,584,0.039165728,0.37353006,0.26079944,0,0,0
GLDC,GCSP_HUMAN,1020,0.047666546,0.31164172,0.29001826,0,0,0
WARS1,SYWC_HUMAN,471,0.005258926,0.63190776,0.40223306,0,63,0
RPS3,RS3_HUMAN,243,0.023187459,0.47747412,0.47836423,0,0,0
MYF6,MYF6_HUMAN,242,0.21451747,0.17550471,0.29474092,0,0,0
GLRA1,GLRA1_HUMAN,457,0.02853072,0.04888394,0.10104589,0,0,0
GLRA2,GLRA2_HUMAN,452,0.027122578,0.052170597,0.0709427,0,0,0
GCSH,GCSH_HUMAN,173,0.0011811212,0.0019455941,0.116336785,0,0,0
CBLN1,CBLN1_HUMAN,193,0.0016070962,0.00067400036,0.09958587,0,0,0
RPS6KB1,KS6B1_HUMAN,525,0.31772214,0.7021118,0.66597366,0,38,125
JAK1,JAK1_HUMAN,1154,0.050977,0.63643706,0.5158364,0,111,31
PTPRB,PTPRB_HUMAN,1997,0.005457408,0.040383253,0.28703922,0,0,0
PTPRD,PTPRD_HUMAN,1912,0.0042687,0.09822166,0.19925246,0,0,0
PTPRE,PTPRE_HUMAN,700,0.007313798,0.28352332,0.21249044,0,0,0
PTPRG,PTPRG_HUMAN,1445,0.21265157,0.3809651,0.3453253,0,0,0
PTPRZ1,PTPRZ_HUMAN,2315,0.038263366,0.32906443,0.3291908,0,0,0
LORICRIN,LORI_HUMAN,312,0.9233171,0.06332685,0.90519255,312,0,312
SP100,SP100_HUMAN,879,0.3906397,0.6174004,0.69291997,0,58,160
MCC,CRCM_HUMAN,829,0.57036966,0.57981837,0.35749045,34,41,0
TNFSF4,TNFL4_HUMAN,183,0.0009872834,0.009432005,0.03534638,0,0,0
NFYA,NFYA_HUMAN,347,0.9415857,0.7694208,0.90274066,267,347,347
OMG,OMGP_HUMAN,440,0.0014821702,0.004620773,0.08192253,0,0,0
AHCY,SAHH_HUMAN,432,0.035504647,0.2648515,0.42036873,0,0,0
H2BC17,H2B1O_HUMAN,126,0.0033105847,0.57648903,0.54064,0,36,37
CFL1,COF1_HUMAN,166,0.00028934216,0.49240893,0.26029116,0,0,0
BDNF,BDNF_HUMAN,247,0.013551312,0.0033306829,0.079495855,0,0,0
NPPC,ANFC_HUMAN,126,0.15859333,0.05855451,0.22570738,0,0,0
EIF4B,IF4B_HUMAN,611,0.94320357,0.8571099,0.8542247,307,239,577
F8A1,HAP40_HUMAN,371,0.32933313,0.2228607,0.36643937,0,0,0
ATP2B4,AT2B4_HUMAN,1241,0.22207387,0.4759133,0.39635244,0,56,32
ITPKA,IP3KA_HUMAN,461,0.12515944,0.23885377,0.22397605,0,0,0
DGKA,DGKA_HUMAN,735,0.025149774,0.16093749,0.17707402,0,0,0
PAX7,PAX7_HUMAN,505,0.47806913,0.7392991,0.6995083,37,83,333
PAX3,PAX3_HUMAN,479,0.42953697,0.6757595,0.6628641,37,45,53
VAMP1,VAMP1_HUMAN,118,0.5294953,0.339411,0.47382838,41,0,32
GATA2,GATA2_HUMAN,480,0.666851,0.5828652,0.7423795,143,72,299
GATA3,GATA3_HUMAN,443,0.49045387,0.27804208,0.64041615,0,0,152
CPT2,CPT2_HUMAN,658,0.028972585,0.57308924,0.38393724,0,104,0
DTYMK,KTHY_HUMAN,212,0.0001847708,0.06923665,0.06479779,0,0,0
RRM1,RIR1_HUMAN,792,0.015985712,0.6007279,0.23644015,0,53,0
PRPH2,PRPH2_HUMAN,346,0.0041453266,0.021954473,0.18099526,0,0,0
FSHR,FSHR_HUMAN,695,0.051026177,0.0005624213,0.10793306,0,0,0
CMA1,CMA1_HUMAN,247,0.00043719434,0.0001409514,0.041445736,0,0,0
SLC6A2,SC6A2_HUMAN,617,9.149688e-05,0.00045256986,0.03660795,0,0,0
IL32,IL32_HUMAN,234,0.0027969049,0.004670884,0.095075384,0,0,0
LAMA2,LAMA2_HUMAN,3122,0.33046675,0.684,0.5080105,0,427,35
GABRR1,GBRR1_HUMAN,479,0.025598679,0.016127883,0.08832014,0,0,0
FCAR,FCAR_HUMAN,287,4.4020337e-05,3.3579327e-06,0.019336054,0,0,0
PRTN3,PRTN3_HUMAN,256,0.0031574345,0.0005474844,0.03754858,0,0,0
ZBTB25,ZBT25_HUMAN,435,0.09369182,0.42498365,0.2808974,0,0,0
GPT,ALAT1_HUMAN,496,0.3293365,0.17702135,0.21901913,0,0,0
COX7A1,CX7A1_HUMAN,79,0.0002325089,0.00013781506,0.043188535,0,0,0
COX7B,COX7B_HUMAN,80,0.00013767803,3.7329788e-05,0.050462574,0,0,0
MMP11,MMP11_HUMAN,488,0.015907098,0.023471653,0.50965583,0,0,0
CCND1,CCND1_HUMAN,295,0.016719539,0.2961089,0.33269376,0,0,0
CHM,RAE1_HUMAN,653,0.058151674,0.51512027,0.31528285,0,0,0
CRHBP,CRHBP_HUMAN,322,0.028143179,0.057249308,0.13053511,0,0,0
KDELR1,ERD21_HUMAN,212,0.00017091399,0.000159535,0.018991694,0,0,0
IL4R,IL4RA_HUMAN,825,0.07540465,0.09603411,0.26050064,0,0,0
CYP3A7,CP3A7_HUMAN,503,0.008973306,0.004676985,0.094500534,0,0,0
NR2F2,COT2_HUMAN,414,0.8149409,0.6120318,0.8002175,84,73,87
GADD45A,GA45A_HUMAN,165,0.0055428394,0.18436182,0.17764208,0,0,0
EDNRB,EDNRB_HUMAN,442,0.0019128456,2.6639067e-05,0.010723041,0,0,0
EEF1B2,EF1B_HUMAN,225,0.068394914,0.56005806,0.61294556,0,73,67
ATP5PB,AT5F1_HUMAN,256,0.00882012,0.09251644,0.15349391,0,0,0
TBXAS1,THAS_HUMAN,533,0.02272252,0.00091907737,0.08682377,0,0,0
AKAP5,AKAP5_HUMAN,427,0.2440368,0.5225374,0.5606717,0,0,67
IGFBP6,IBP6_HUMAN,240,0.45726794,0.025193945,0.2172045,35,0,0
IGFBP5,IBP5_HUMAN,272,0.031645276,0.009942138,0.14507875,0,0,0
ACP1,PPAC_HUMAN,158,3.451199e-05,0.028039712,0.0354658,0,0,0
PRKCH,KPCL_HUMAN,683,0.0853012,0.3999123,0.53450185,0,0,36
ACAT1,THIL_HUMAN,427,0.025795538,0.065838456,0.2912386,0,0,0
TNC,TENA_HUMAN,2201,0.27267507,0.15049991,0.7017354,0,0,470
MYL9,MYL9_HUMAN,172,0.13714929,0.61661243,0.4929967,0,34,0
DNASE1,DNAS1_HUMAN,282,0.0016638227,0.008445452,0.24857466,0,0,0
CCNC,CCNC_HUMAN,283,0.0066770315,0.117566034,0.22120428,0,0,0
CCNE1,CCNE1_HUMAN,410,0.19955696,0.520871,0.5601635,0,43,50
CYP2F1,CP2F1_HUMAN,491,0.002200276,0.0024145548,0.058050524,0,0,0
POLR2A,RPB1_HUMAN,1970,0.8936939,0.646873,0.8824309,285,631,406
CDK2,CDK2_HUMAN,298,0.00052055647,0.3754663,0.49991688,0,0,0
HRH2,HRH2_HUMAN,359,0.1189007,2.5687452e-05,0.04465978,0,0,0
CXCR1,CXCR1_HUMAN,350,0.00032480492,1.9896765e-06,0.008670694,0,0,0
CXCR2,CXCR2_HUMAN,360,0.0012531526,1.1246545e-06,0.00656871,0,0,0
APC,APC_HUMAN,2843,0.8053212,0.8527961,0.7424302,382,776,1233
CD24,CD24_HUMAN,80,0.00036682116,1.0744889e-05,0.011933909,0,0,0
COL8A2,CO8A2_HUMAN,703,0.4520463,0.16275838,0.6730679,0,0,180
FPR2,FPR2_HUMAN,351,0.0014912474,1.8626875e-05,0.012317045,0,0,0
GUCY2C,GUC2C_HUMAN,1073,0.004896318,0.278362,0.27239165,0,0,0
GRK2,ARBK1_HUMAN,689,0.042298067,0.45979482,0.37652034,0,0,0
ADRA1D,ADA1D_HUMAN,572,0.2756611,0.029744253,0.28840885,0,0,0
EDNRA,EDNRA_HUMAN,427,0.011335264,1.3151563e-05,0.022481155,0,0,0
TACR1,NK1R_HUMAN,407,0.18520358,0.003923516,0.08828994,0,0,0
PTAFR,PTAFR_HUMAN,342,0.005248866,7.2728544e-06,0.018485948,0,0,0
ACKR3,ACKR3_HUMAN,362,0.00017772063,1.1702962e-06,0.0063452623,0,0,0
F2R,PAR1_HUMAN,425,0.00011247788,6.185022e-07,0.004973259,0,0,0
MPZ,MYP0_HUMAN,248,0.0010820428,0.0001311638,0.07834291,0,0,0
MCM3,MCM3_HUMAN,808,0.20312984,0.64921683,0.49928308,0,83,50
NFYB,NFYB_HUMAN,207,0.047306158,0.38231024,0.28790447,0,0,0
AZGP1,ZA2G_HUMAN,298,0.004856341,0.007902185,0.11199597,0,0,0
MPST,THTM_HUMAN,297,0.0025060312,0.024551459,0.14105922,0,0,0
LAMA1,LAMA1_HUMAN,3075,0.024639796,0.25226727,0.2764036,0,0,0
RPS12,RS12_HUMAN,132,0.014992466,0.29618183,0.3265718,0,0,0
BRD2,BRD2_HUMAN,801,0.7087251,0.67928183,0.69829893,82,388,333
FAS,TNR6_HUMAN,335,0.0264548,0.082247995,0.13269107,0,0,0
YY1,TYY1_HUMAN,414,0.8342632,0.6398404,0.77110136,184,173,256
DNAJB1,DNJB1_HUMAN,340,0.8749019,0.6665085,0.78356034,99,261,150
DNAJB2,DNJB2_HUMAN,324,0.8151083,0.42601985,0.6677144,127,0,122
ATP5F1A,ATPA_HUMAN,553,0.034093954,0.36510685,0.3259241,0,0,0
MT3,MT3_HUMAN,68,0.41978747,0.1560346,0.69835615,0,0,68
CTSS,CATS_HUMAN,331,0.006815502,0.024256174,0.32732177,0,0,0
PSMA1,PSA1_HUMAN,263,0.06501772,0.6098079,0.49012032,0,0,0
PSMA2,PSA2_HUMAN,234,0.035496168,0.51251036,0.2683685,0,0,0
PSMA3,PSA3_HUMAN,255,0.014431973,0.49951783,0.3254306,0,0,0
PSMA4,PSA4_HUMAN,261,0.1287588,0.6093582,0.55611604,0,49,0
LMO2,RBTN2_HUMAN,158,3.8872102e-05,0.05981922,0.17907718,0,0,0
LMO1,RBTN1_HUMAN,156,1.335747e-05,0.11367339,0.20790812,0,0,0
S100P,S100P_HUMAN,95,0.00045163123,0.07252696,0.1398957,0,0,0
UCP1,UCP1_HUMAN,307,0.013303978,1.7693816e-05,0.19768752,0,0,0
NPY1R,NPY1R_HUMAN,384,0.016017474,0.00050961756,0.042110156,0,0,0
COL5A3,CO5A3_HUMAN,1745,0.76161414,0.75518596,0.77723765,333,168,955
CD40,TNR5_HUMAN,277,0.0013670693,0.0034239993,0.066363186,0,0,0
NFKBIA,IKBA_HUMAN,317,0.07912394,0.5416299,0.25833446,0,0,0
ITGA3,ITA3_HUMAN,1051,0.07614472,0.08749387,0.30091554,0,0,0
ITGB7,ITB7_HUMAN,798,0.1308876,0.010751584,0.082928136,0,0,0
ITGB8,ITB8_HUMAN,769,0.021197103,0.04880457,0.1582623,0,0,0
PTX3,PTX3_HUMAN,381,0.45827612,0.099614896,0.27482206,0,0,0
MSN,MOES_HUMAN,577,0.5556846,0.7574276,0.61614114,0,359,160
PTPN3,PTN3_HUMAN,913,0.18758765,0.32920858,0.44011745,0,0,0
DDX6,DDX6_HUMAN,483,0.8342929,0.7019891,0.72988695,72,80,74
CTNNA2,CTNA2_HUMAN,953,0.14602692,0.6264602,0.42442998,0,154,0
DNMT1,DNMT1_HUMAN,1616,0.15959488,0.7350268,0.62274176,0,277,337
PAX6,PAX6_HUMAN,422,0.7157618,0.5729504,0.7393268,65,33,329
U2AF2,U2AF2_HUMAN,475,0.7813529,0.833465,0.8046783,158,309,443
KRTAP5-9,KRA59_HUMAN,169,0.72183263,0.00035994267,0.864775,169,0,169
RPL13,RL13_HUMAN,211,0.062605254,0.51907426,0.464011,0,58,0
CHML,RAE2_HUMAN,656,0.03964435,0.29440936,0.22001986,0,0,0
ELAVL4,ELAV4_HUMAN,385,0.5159822,0.90718174,0.75413585,49,317,385
ACRV1,ASPX_HUMAN,265,0.73340315,0.089562155,0.63307106,114,0,99
HSD3B2,3BHS2_HUMAN,372,1.526831e-05,0.00041242066,0.0716231,0,0,0
IVD,IVD_HUMAN,426,0.030592864,0.15223138,0.24399647,0,0,0
CNTF,CNTF_HUMAN,200,0.0046661794,0.045073852,0.05591783,0,0,0
S100A4,S10A4_HUMAN,101,2.7589151e-06,0.005011266,0.050563388,0,0,0
MGAT1,MGAT1_HUMAN,445,0.0012916994,0.020388652,0.06735764,0,0,0
HMGB2,HMGB2_HUMAN,209,0.035307758,0.640769,0.7572328,0,62,209
PTBP1,PTBP1_HUMAN,557,0.53179246,0.8269867,0.8174671,69,454,557
TARS1,SYTC_HUMAN,723,0.15457451,0.54555357,0.62067485,0,0,52
VARS1,SYVC_HUMAN,1264,0.17840034,0.47494712,0.5212468,0,52,53
EEF1G,EF1G_HUMAN,437,0.008849784,0.44482738,0.4537786,0,62,44
ZFP36,TTP_HUMAN,326,0.07940773,0.014502818,0.29159924,0,0,0
PLN,PPLA_HUMAN,52,0.00022774779,0.019521926,0.039365776,0,0,0
KLRC1,NKG2A_HUMAN,233,0.011704057,0.011811015,0.048198543,0,0,0
KLRC2,NKG2C_HUMAN,231,0.0005167686,0.00027622626,0.018710691,0,0,0
KLRK1,NKG2D_HUMAN,216,0.0001941504,9.854818e-07,0.022883516,0,0,0
CD27,CD27_HUMAN,260,0.0014224906,0.00013845992,0.017760826,0,0,0
FKBP2,FKBP2_HUMAN,142,0.0056330008,0.017374432,0.16508365,0,0,0
MST1,HGFL_HUMAN,711,0.7695745,0.13347633,0.67037195,200,0,178
IL3RA,IL3RA_HUMAN,378,0.0026172786,0.00013087841,0.03889321,0,0,0
CNTFR,CNTFR_HUMAN,372,0.00030657212,0.001349439,0.09527473,0,0,0
CRYBB3,CRBB3_HUMAN,211,0.15761176,0.046883635,0.32430753,0,0,0
ACVR2A,AVR2A_HUMAN,513,0.007209322,0.15756026,0.37151113,0,0,0
STOM,STOM_HUMAN,288,0.028514082,0.20772445,0.2595296,0,0,0
AK4,KAD4_HUMAN,223,0.0013134573,0.14318322,0.102840684,0,0,0
PON1,PON1_HUMAN,355,0.0026212034,0.024246037,0.294486,0,0,0
ANXA13,ANX13_HUMAN,316,0.2764141,0.5474987,0.6073898,0,0,120
MAOB,AOFB_HUMAN,520,0.0032067471,0.16358256,0.26450312,0,0,0
YWHAQ,1433T_HUMAN,245,0.005941632,0.34747785,0.42981368,0,0,0
CBLIF,IF_HUMAN,417,0.0017989533,0.06559287,0.13153228,0,0,0
MAPK3,MK03_HUMAN,379,0.2223845,0.60124195,0.6442812,0,0,64
MARK3,MARK3_HUMAN,753,0.3911442,0.7941052,0.6140379,0,70,75
ATP6V0C,VATL_HUMAN,155,0.013230699,0.006432152,0.06863958,0,0,0
G0S2,G0S2_HUMAN,103,0.020573562,0.02485958,0.13076463,0,0,0
CALML3,CALL3_HUMAN,149,0.0383771,0.15381503,0.3536721,0,0,0
DPP4,DPP4_HUMAN,766,0.00018509521,0.016500715,0.23023966,0,0,0
GDF1,GDF1_HUMAN,372,0.022440512,0.0010906934,0.03487492,0,0,0
ARNT,ARNT_HUMAN,789,0.82368183,0.53375924,0.79615086,258,0,334
CERS1,CERS1_HUMAN,350,5.2490854e-05,3.106663e-05,0.013098897,0,0,0
RPL10,RL10_HUMAN,214,0.0071491087,0.2779572,0.30665702,0,0,0
COL8A1,CO8A1_HUMAN,744,0.7653081,0.54577357,0.86632264,415,73,614
RPA1,RFA1_HUMAN,616,0.24591091,0.6474216,0.63612914,0,127,96
APEX1,APEX1_HUMAN,318,0.051976155,0.52264345,0.6141668,0,47,48
CD82,CD82_HUMAN,267,0.0048315367,5.0004803e-07,0.012795312,0,0,0
DCK,DCK_HUMAN,260,0.0053373566,0.09996925,0.12827893,0,0,0
CAD,PYR1_HUMAN,2225,0.14892717,0.5946461,0.446629,0,34,0
CALR,CALR_HUMAN,417,0.4118778,0.5164964,0.6861216,0,0,208
PDE4A,PDE4A_HUMAN,886,0.5598764,0.5381671,0.5694006,73,0,85
MAP4,MAP4_HUMAN,1152,0.5531183,0.8205493,0.75848514,32,371,665
CANX,CALX_HUMAN,592,0.5674597,0.56011665,0.71169484,101,0,213
CFP,PROP_HUMAN,469,0.015410352,0.0003930708,0.4083547,0,0,0
IL1R2,IL1R2_HUMAN,398,0.00018264886,2.283925e-05,0.031049842,0,0,0
PIK3R1,P85A_HUMAN,724,0.17504084,0.69781,0.52421486,0,226,0
ITPKB,IP3KB_HUMAN,946,0.42992097,0.5500227,0.37455517,0,98,0
AOAH,AOAH_HUMAN,575,0.0005543394,0.0065607904,0.051956326,0,0,0
PSMB8,PSB8_HUMAN,276,0.13077849,0.26829737,0.38556963,0,0,0
PSMB9,PSB9_HUMAN,219,0.06194533,0.13604863,0.19287698,0,0,0
PSMA5,PSA5_HUMAN,241,0.035474963,0.28177732,0.20605974,0,0,0
HLA-DMA,DMA_HUMAN,261,0.0005571828,0.0005231678,0.053699434,0,0,0
HLA-DMB,DMB_HUMAN,263,0.0041958387,0.00017425031,0.05541383,0,0,0
POU1F1,PIT1_HUMAN,291,0.06324541,0.48478943,0.38737306,0,0,0
PSMB4,PSB4_HUMAN,264,0.031688713,0.12018243,0.17230286,0,0,0
PSMB6,PSB6_HUMAN,239,0.3196555,0.2358261,0.30903456,0,0,0
PSMB5,PSB5_HUMAN,263,0.08002587,0.20477946,0.27989244,0,0,0
GSTM2,GSTM2_HUMAN,218,0.004404634,0.008479861,0.22426108,0,0,0
HTR1D,5HT1D_HUMAN,377,0.14281401,0.00014014593,0.025777891,0,0,0
HTR1B,5HT1B_HUMAN,390,0.21216834,0.0006585005,0.049590677,0,0,0
HTR2A,5HT2A_HUMAN,471,0.07208612,0.000542418,0.035857428,0,0,0
ABCD3,ABCD3_HUMAN,659,0.0014537344,0.15763308,0.18152067,0,0,0
TMOD1,TMOD1_HUMAN,359,0.16920477,0.6149781,0.59756136,0,169,106
ITPRID2,ITPI2_HUMAN,1259,0.61246526,0.57880527,0.47231895,128,74,0
LOX,LYOX_HUMAN,417,0.5949695,0.18343177,0.4004067,46,0,32
ELK4,ELK4_HUMAN,431,0.018331138,0.4651746,0.30902755,0,36,0
CST5,CYTD_HUMAN,142,0.03233243,0.014409726,0.1585644,0,0,0
PEX2,PEX2_HUMAN,305,0.0013705447,0.007980424,0.0383165,0,0,0
CHAT,CLAT_HUMAN,748,0.08630608,0.11065891,0.11572798,0,0,0
ACADL,ACADL_HUMAN,430,0.029692193,0.11871032,0.1785269,0,0,0
NDUFS1,NDUS1_HUMAN,727,0.014223087,0.089893974,0.22828755,0,0,0
ADH6,ADH6_HUMAN,368,0.00868966,0.039629724,0.3087716,0,0,0
HTR2C,5HT2C_HUMAN,458,0.24512716,0.07506081,0.16085854,39,0,0
NMBR,NMBR_HUMAN,390,0.021545755,2.0004552e-05,0.020294944,0,0,0
POLD1,DPOD1_HUMAN,1107,0.56624734,0.70022357,0.7306358,0,157,123
TEAD1,TEAD1_HUMAN,426,0.43908134,0.5927382,0.7244321,51,108,99
HOXD9,HXD9_HUMAN,352,0.6806784,0.32876927,0.67803615,48,0,47
HOXD10,HXD10_HUMAN,340,0.39230445,0.31406778,0.43256417,0,0,0
MSX1,MSX1_HUMAN,303,0.005891245,0.14143932,0.3526464,0,0,0
SMARCA1,SMCA1_HUMAN,1054,0.15252808,0.72284734,0.6793586,0,251,70
GABRB3,GBRB3_HUMAN,473,0.06594254,0.012603009,0.12986894,0,0,0
GABRR2,GBRR2_HUMAN,465,0.00028152813,0.0010367116,0.032481153,0,0,0
MAPK1,MK01_HUMAN,360,0.05722505,0.6036907,0.54525214,0,0,44
DUSP1,DUS1_HUMAN,367,0.00020217751,0.0097431075,0.15943035,0,0,0
HTR1E,5HT1E_HUMAN,365,0.14563248,0.0009430603,0.030048141,0,0,0
GCA,GRAN_HUMAN,217,0.5693806,0.51026165,0.6562451,45,52,51
MZF1,MZF1_HUMAN,734,0.6919844,0.13314274,0.8092302,182,0,337
RXRB,RXRB_HUMAN,533,0.59460133,0.48019084,0.6568964,31,68,175
ERCC5,ERCC5_HUMAN,1186,0.23421995,0.48949248,0.46171084,0,0,0
RBL1,RBL1_HUMAN,1068,0.2749874,0.5352189,0.5890304,0,91,166
GRN,GRN_HUMAN,593,0.06035135,0.00682135,0.2808961,0,0,0
PTPRM,PTPRM_HUMAN,1452,0.016001493,0.21230428,0.26083988,0,0,0
LAP3,AMPL_HUMAN,519,0.018628836,0.1386782,0.18129583,0,0,0
HSD11B1,DHI1_HUMAN,292,3.6227713e-05,0.04614228,0.19393137,0,0,0
CD34,CD34_HUMAN,385,0.38014707,0.072287746,0.2880825,60,0,0
CD38,CD38_HUMAN,300,0.039177544,0.001309703,0.055499524,0,0,0
TNFRSF8,TNR8_HUMAN,595,0.11184224,0.10554109,0.18240191,0,0,0
CD1B,CD1B_HUMAN,333,0.00036182263,4.8028433e-05,0.016913224,0,0,0
CD1C,CD1C_HUMAN,333,0.00012453907,9.050755e-06,0.009560486,0,0,0
GJB2,CXB2_HUMAN,226,0.0028322176,0.0012112178,0.040244292,0,0,0
S100A2,S10A2_HUMAN,98,7.81004e-06,0.0023033198,0.039067756,0,0,0
PTPN4,PTN4_HUMAN,926,0.09105287,0.4879887,0.4860402,0,0,0
GTF2E1,T2EA_HUMAN,439,0.18217996,0.6391407,0.59961903,0,127,97
GTF2E2,T2EB_HUMAN,291,0.074121386,0.35352248,0.5221223,0,0,54
PCSK1,NEC1_HUMAN,753,0.054921024,0.16577128,0.29603028,0,0,0
PCSK6,PCSK6_HUMAN,969,0.13243769,0.14605437,0.34086055,0,0,0
TPP2,TPP2_HUMAN,1249,0.022239069,0.61947936,0.41849628,0,97,0
IMPA1,IMPA1_HUMAN,277,0.014828284,0.17153373,0.33045262,0,0,0
ADORA2A,AA2AR_HUMAN,412,0.13782987,0.00058891065,0.06253032,0,0,0
ADORA2B,AA2BR_HUMAN,332,0.026353706,3.1590425e-06,0.022843843,0,0,0
CCN2,CCN2_HUMAN,349,0.009272407,0.005588967,0.21416704,0,0,0
EPHA2,EPHA2_HUMAN,976,0.050366443,0.35115296,0.49600476,0,0,32
EPHA3,EPHA3_HUMAN,983,0.025174553,0.27240264,0.44344148,0,0,0
EPHA8,EPHA8_HUMAN,1005,0.07468596,0.40916318,0.4645339,0,33,0
EPHB2,EPHB2_HUMAN,1055,0.33293897,0.4402843,0.5862027,0,0,114
PTPN6,PTN6_HUMAN,595,0.37958884,0.55250955,0.5495933,0,39,41
SHC1,SHC1_HUMAN,583,0.54915965,0.6492839,0.6776201,44,145,154
TACR3,NK3R_HUMAN,465,0.3427276,0.006053835,0.17635342,0,0,0
MPG,3MG_HUMAN,298,0.09411611,0.047091648,0.20594761,0,0,0
CRABP2,RABP2_HUMAN,138,0.028635006,0.37568912,0.40558654,0,0,0
ARID4A,ARI4A_HUMAN,1257,0.45513314,0.7312037,0.72756517,0,747,677
KDM5A,KDM5A_HUMAN,1690,0.14473698,0.5622702,0.5078286,0,118,79
LTK,LTK_HUMAN,864,0.55554974,0.0403954,0.3973363,138,0,0
COL4A5,CO4A5_HUMAN,1685,0.73512954,0.47865933,0.8255297,852,0,1256
TKT,TKT_HUMAN,623,0.39593494,0.20362881,0.20033486,31,0,0
IL12A,IL12A_HUMAN,219,0.0001718788,0.00014568408,0.0148045225,0,0,0
IL12B,IL12B_HUMAN,328,4.0961786e-05,4.8964116e-06,0.021583565,0,0,0
CASP1,CASP1_HUMAN,404,0.22713149,0.39984784,0.33989614,0,0,0
NOS3,NOS3_HUMAN,1203,0.14762086,0.2884783,0.30415353,0,0,0
NOS1,NOS1_HUMAN,1434,0.011199562,0.64397854,0.5696312,0,0,36
SERPINB3,SPB3_HUMAN,390,0.0028226136,0.37756947,0.13717388,0,0,0
LMOD1,LMOD1_HUMAN,600,0.5644306,0.6138898,0.7385432,0,96,327
RBMS1,RBMS1_HUMAN,406,0.71313596,0.8582119,0.8097637,149,200,406
PML,PML_HUMAN,882,0.28594947,0.6313323,0.5134937,0,98,45
TYK2,TYK2_HUMAN,1187,0.028486904,0.35137394,0.3785748,0,0,0
SERPINA4,KAIN_HUMAN,427,0.00022583087,0.08092211,0.06341541,0,0,0
EEF1D,EF1D_HUMAN,281,0.6572671,0.73424804,0.7060243,93,199,149
OAS2,OAS2_HUMAN,719,0.036911346,0.1527352,0.13838775,0,0,0
PDHA2,ODPAT_HUMAN,388,0.32749492,0.03416995,0.18306693,0,0,0
CD40LG,CD40L_HUMAN,261,0.009960172,0.013464871,0.06786643,0,0,0
MARCKS,MARCS_HUMAN,332,0.9120434,0.6466788,0.77419466,332,215,332
AQP1,AQP1_HUMAN,269,0.8747495,3.7524725e-05,0.16622609,118,0,0
